YEAR,TERM2,PRESIDENT,PARTY,APPROVAL,HOUSE,SENATE,HMAJ
1934,0,Franklin D. Roosevelt ,D,NA,9,9,1
1938,1,Franklin D. Roosevelt ,D,60,-71,-6,1
1942,1,Franklin D. Roosevelt ,D,74,-55,-9,1
1946,0,Harry S. Truman ,D,27,-45,-12,1
1950,1,Harry S. Truman ,D,41,-29,-6,1
1954,0,Dwight D. Eisenhower ,R,62,-18,-1,1
1958,1,Dwight D. Eisenhower ,R,57,-48,-13,0
1962,0,John F. Kennedy ,D,61,-4,3,1
1966,0,Lyndon B. Johnson ,D,44,-47,-4,1
1970,0,Richard Nixon ,R,58,-12,2,0
1974,0,Gerald R. Ford (Nixon) ,R,53,-48,-5,0
1978,0,Jimmy Carter ,D,49,-15,-3,1
1982,0,Ronald Reagan ,R,42,-26,1,0
1986,1,Ronald Reagan ,R,64,-5,-8,0
1990,0,George Bush ,R,57,-8,-1,0
1994,0,William J. Clinton ,D,48,-52,-8,1
1998,1,William J. Clinton ,D,65,5,0,0
2002,0,George W. Bush ,R,67,8,2,1
2006,1,George W. Bush ,R,37,-30,-6,1
2010,0,Barack Obama ,D,45,-63,-6,1
2014,1,Barack Obama,D,41,-13,-9,0
